name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
washington dc,2011-01-01,14.1,1.2,8.1,14.1,1.2,7.9,5.2,82.3,0.15,100,4.17,rain,,,38.9,20.6,198.3,1018.7,70.9,14.4,47.2,4.1,3,,2011-01-01T07:26:50,2011-01-01T16:56:37,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-01-02,14.2,2,9.2,14.2,-1.5,7.4,3.7,70.3,1.07,100,29.17,rain,,,42.5,29.4,280.2,1016.2,83,15.1,44.5,3.9,2,,2011-01-02T07:26:57,2011-01-02T16:57:26,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-01-03,4,-2.1,0.6,0.7,-8.4,-3.7,-10.5,44.2,0,0,0,,,,40.7,27.2,295.3,1024.1,10.2,16,125,10.9,5,,2011-01-03T07:27:03,2011-01-03T16:58:17,1,Clear,Clear conditions throughout the day.,clear-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-01-04,5.8,-3.4,0.7,2.6,-6.7,-2.3,-6.4,59.9,0,0,0,,,,,21.7,207.1,1016.3,51.7,16,114.9,9.8,5,,2011-01-04T07:27:06,2011-01-04T16:59:09,0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-01-05,5.9,-0.9,2.4,4.7,-4.4,-0.8,-9.1,43.6,0,0,0,,,,37.1,24.7,272.5,1013.6,48.2,16,108.5,9.3,5,,2011-01-05T07:27:07,2011-01-05T17:00:02,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-01-06,4.9,-2.3,0.8,2.4,-5.2,-1,-7.9,53.5,0,0,0,,,,,17.8,121.3,1006.1,63.4,16,118.6,10.4,5,,2011-01-06T07:27:06,2011-01-06T17:00:57,0.02,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-01-07,1.7,-1.1,0.6,0.9,-4.2,-2.6,-8.6,51,0,0,0,,,,35.3,22.6,214.8,998,89.5,16,75.8,6.6,3,,2011-01-07T07:27:03,2011-01-07T17:01:53,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-01-08,0.9,-4.1,-0.9,-0.2,-11.7,-5.5,-9.7,53.8,0.24,100,8.33,"rain,snow",,,52.1,36.6,223.5,1000.1,75.5,14.7,79,6.6,4,,2011-01-08T07:26:58,2011-01-08T17:02:50,0.08,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-01-09,1.7,-5.1,-2.3,-3.8,-12.2,-8.6,-13,43.9,0,0,0,,,,56.5,35,301.2,1019.3,15.2,16,122.4,10.5,5,,2011-01-09T07:26:50,2011-01-09T17:03:48,0.12,Clear,Clear conditions throughout the day.,wind,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-01-10,1,-4.1,-1.7,-1.7,-9.6,-6.3,-11.1,49.1,0,0,0,,,,31.3,20.3,319.9,1027.2,58.7,16,64.7,5.6,3,,2011-01-10T07:26:41,2011-01-10T17:04:48,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
